OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
AEROCUBE 6A,2014-033AM,2024-12-31T21:50:28.011552,14.8868005,0.004603,97.6762,173.431,351.4054,8.637,0,U,40045,999,56715,0.001639,0.00015572,0.0,6980.195649660228,CubeSat
SPACEBEE-6,2018-099BN,2025-01-01T04:25:06.614112,15.86497495,0.0007754,97.4973,82.2169,297.5781,62.4701,0,U,43818,999,33340,0.0042928,0.01206572,0.0,6690.248472028588,CubeSat
ORBCOMM FM04,1998-007C,2024-12-31T21:05:44.006784,14.33991893,0.0042102,107.9654,155.1628,182.4961,177.5973,0,U,25159,999,40023,0.0019548,5.394e-05,0.0,7156.555504968593,Orbcomm
ORBCOMM FM30,1999-065A,2024-12-31T20:54:00.309888,14.36595504,0.0006994,45.0293,161.3002,240.5209,119.4942,0,U,25980,999,31038,0.0013295,3.806e-05,0.0,7147.906111624536,Orbcomm
BISONSAT,2015-058L,2024-12-31T14:15:10.818144,14.99650723,0.0150932,64.7666,75.6226,245.9811,112.5446,0,U,40974,999,3527,0.0020057,0.00031514,0.0,6946.111661745365,CubeSat
RAVAN,2016-067B,2024-12-30T18:22:53.235552,15.22862699,0.001159,98.055,196.1972,76.6148,283.6378,0,U,41849,999,44580,0.001544,0.00036295,0.0,6875.34784246486,CubeSat
GLOBALSTAR M048,1999-041A,2024-12-31T17:34:40.465056,11.33852953,0.001325,51.9397,13.4157,254.4754,277.0757,0,U,25872,999,10598,0.00050248,-5.1e-07,0.0,8369.458321794968,Globalstar
IRIDIUM 141,2017-083H,2024-12-31T19:10:11.015040,14.34217847,0.0001833,86.3988,184.4983,82.0988,278.0416,0,U,43077,999,36786,3.4259e-06,2.9e-07,0.0,7155.803831709329,Iridium Next
SNAP-3 JIMI,2015-058M,2024-12-31T20:41:52.176480,14.92817304,0.0167748,64.769,93.5714,246.9146,111.4209,0,U,40975,999,3447,0.0017478,0.00023812,0.0,6967.292888291544,CubeSat
MORDOVIA-IOT (RS50S),2024-199AG,2024-12-31T22:37:39.267840,15.28318214,0.0015181,97.3796,231.0882,30.9238,329.2892,0,U,61765,999,5254,0.0018428,0.00051213,0.0,6858.976507561583,Amateur Radio
ITASAT,2018-099AE,2024-12-31T21:56:47.616864,15.09365872,0.0016338,97.4823,58.9532,40.6366,319.6079,0,U,43786,999,33234,0.001047,0.00016733,0.0,6916.273475340502,Amateur Radio
VERONIKA,2023-174F,2024-12-31T21:45:36.442656,15.38743332,0.0008048,97.438,81.7688,261.7779,98.2553,0,U,58261,999,6391,0.0020125,0.00077744,0.0,6827.961317065106,CubeSat
GLOBALSTAR M033,1999-049C,2024-12-31T18:18:42.697152,12.2029428,0.0012156,51.9912,99.8191,276.8849,83.0615,0,U,25909,999,51530,-0.00010331,-1.02e-06,0.0,7969.396919685066,Globalstar
IRIDIUM 164,2018-061J,2024-12-31T15:00:05.794848,14.34223543,0.0002316,86.3966,279.2908,87.4448,272.7013,0,U,43577,999,33708,0.00041423,1.18e-05,0.0,7155.784885576046,Iridium Next
SITRO-AIS 10 (BURDAEV),2023-091AK,2025-01-01T03:35:41.125920,15.18283299,0.0011447,97.586,59.9996,142.6001,217.6032,0,U,57199,999,8351,0.0014115,0.00029003,0.0,6889.165712413123,CubeSat
CUTE-1 (CO-55),2003-031E,2024-12-31T22:55:56.846784,14.23737601,0.0008725,98.6776,11.3005,293.8546,66.1718,0,U,27844,999,11592,0.00062873,1.393e-05,0.0,7190.877184786641,CubeSat
CORVUS BC4,2018-099K,2025-01-01T01:57:24.169536,15.0584322,0.0010443,97.4856,54.4393,37.1114,323.0833,0,U,43767,999,33213,0.00087524,0.00012672,0.0,6927.055534220498,CubeSat
GLOBALSTAR M069,2007-020C,2024-12-31T17:02:01.802976,12.53308121,4.3e-05,51.9971,336.2171,85.8544,85.5436,0,U,31573,999,81331,0.00025215,-6.1e-07,0.0,7828.82536456125,Globalstar
SITRO-AIS 51,2024-039M,2025-01-01T03:19:43.219488,15.50845878,0.00076,97.41,330.6358,204.8311,155.2576,0,U,59062,999,4701,0.0019855,0.00116183,0.0,6792.392096062064,CubeSat
GLOBALSTAR M087,2022-064A,2024-12-31T17:15:35.986464,12.88918457,0.0021425,51.9768,245.9081,10.4926,349.6396,0,U,52888,999,12385,0.00021325,-5.7e-07,0.0,7683.9561799994435,Globalstar
GREENCUBE,2022-080B,2024-12-22T10:50:05.589312,6.42557665,0.0008284,70.1377,127.1156,64.6124,295.5392,0,U,53106,999,5736,0.0,-3e-08,0.0,12221.57288965844,Amateur Radio
IRIDIUM 137,2017-083G,2024-12-31T17:38:51.113184,14.34217433,0.000232,86.3998,184.6636,99.9419,260.2039,0,U,43076,999,36785,-1.321e-05,-1.7e-07,0.0,7155.805208768146,Iridium Next
IRIDIUM 129,2017-061D,2024-12-31T13:05:34.654272,14.34218623,0.0002216,86.3964,247.7956,75.611,284.5331,0,U,42958,999,37845,0.00011891,3.53e-06,0.0,7155.801250557388,Iridium Next
ORBCOMM FM31,1999-065B,2024-12-31T20:08:13.570080,14.36568085,0.0004082,45.0207,155.003,256.138,103.9014,0,U,25981,999,30993,0.0013435,3.845e-05,0.0,7147.99706348695,Orbcomm
MOVE-II,2018-099Y,2024-12-31T20:22:44.581440,15.35518885,0.0004675,97.4927,70.1175,14.1524,345.985,0,U,43780,999,33303,0.0025418,0.000886,0.0,6837.516697717921,CubeSat
GRBBETA,2024-128C,2025-01-01T04:08:58.604928,15.0015615,0.0033663,61.9938,274.3611,19.3577,340.8782,0,U,60237,999,2626,0.0010683,0.00013391,0.0,6944.551402147658,CubeSat
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat
